MarkerID,Marker No.,Title,Subtitle,Add'l Subtitle,Year Erected,Erected By,Latitude (minus=S),Longitude (minus=W),Street Address,City or Town,County or Parish,State or Prov.,Location,Missing,Link
841,"G-56","Nat’l Rochester","1752-1831",,"2003","the North Carolina Office of Archives and History",36.31389,-78.56361,,"Oxford","Granville County",North Carolina,"Marker is on Williamsboro Street (Business U.S. 158) west of Oxford Outer Loop (Truck Route U.S. 158), on the left when traveling west. ",,http://www.hmdb.org/m.asp?m=841
842,"G-27","Horner Military School",,,"1939","the Department of Conservation and Development",36.31556,-78.58194,,"Oxford","Granville County",North Carolina,"Marker is at the intersection of Williamsboro Street (Business U.S. 158) and Military Street, on the right when traveling east on Williamsboro Street. <font color=red> Reported permanently removed.</font>",Confirmed Missing,http://www.hmdb.org/m.asp?m=842
843,"G-45","Oxford Female College",,,"1991","the Division of Archives and History",36.31333,-78.58556,,"Oxford","Granville County",North Carolina,"Marker is at the intersection of Williamsboro Street (Business U.S. 158) and Lanier Street, on the left when traveling east on Williamsboro Street. ",,http://www.hmdb.org/m.asp?m=843
844,"G-73","Harris Meeting House",,,"1997","the Division of Archives and History",36.31472,-78.52111,,"Oxford","Granville County",North Carolina,"Marker is at the intersection of U.S. 158 and East Tom Parham Road (Local Route 1534), on the right when traveling east on U.S. 158. ",,http://www.hmdb.org/m.asp?m=844
845,"G-94","Henry P. Cheatham","1857-1935",,"1977","the Division of Archives and History",36.29889,-78.58222,,"Oxford","Granville County",North Carolina,"Marker is at the intersection of Linden Avenue (State Highway 96) and Industry Drive, on the right when traveling north on Linden Avenue. ",,http://www.hmdb.org/m.asp?m=845
862,,"Mt. Tabor",,,,,34.15069,-78.87278,,"Tabor City","Columbus County",North Carolina,"Marker is at the intersection of East 5th Street (Business U.S. 701) and Pireway Road (North Carolina Highway 904), on the right when traveling south on East 5th Street. ",,http://www.hmdb.org/m.asp?m=862
863,,"The Tabor City Tribune",,,,,34.15500,-78.86194,"1108 East 5th Street","Tabor City","Columbus County",North Carolina,"Marker is on East 5th Street (Business U.S. 701) south of Bypass U.S. 701, on the left when traveling south. ",,http://www.hmdb.org/m.asp?m=863
864,"I-27","Cape Fear Baptist Church",,,"1992","the Division of Archives and History",34.91270,-78.85694,,"Hope Mills","Cumberland County",North Carolina,"Marker is at the intersection of State Highway 87 and Blossom Road (Local Route 2234), on the right when traveling north on State Highway 87. ",,http://www.hmdb.org/m.asp?m=864
1579,,"Signers of the Mecklenburg Declaration of Independence",,,"1967","Alexandriana Daughters of the American Revolution Chapter",35.35722,-80.82267,"9921 Old Statesville Rd","Huntersville","Mecklenburg County",North Carolina,"Marker is on Old Statesville Road (State Highway 115) north of State Highway 24. ",,http://www.hmdb.org/m.asp?m=1579
1583,"L-2","Confederate Prison",,,"1936","State Historical Commission",35.66460,-80.46676,,"Salisbury","Rowan County",North Carolina,"Marker is at the intersection of East Innes Street and Long Street on East Innes Street. ",,http://www.hmdb.org/m.asp?m=1583
1586,"G-4","William Hooper","1742 - 1790",,"1973","Division of Archives and History",36.07715,-79.09957,,"Hillsborough","Orange County",North Carolina,"Marker is on Churton Street (Business U.S. 70) near West Tryon Street, on the left when traveling north. ",,http://www.hmdb.org/m.asp?m=1586
1946,"I-59","Dunn’s Creek Quaker Meeting",,,"1972","the State Department of Archives and History",34.95520,-78.84405,,"Grays Creek","Cumberland County",North Carolina,"Marker is at the intersection of State Highway 87 and Butler Nursery Rd (Local Route 2221), on the right when traveling north on State Highway 87. ",,http://www.hmdb.org/m.asp?m=1946
2277,"P 18","Newton Academy",,,"1992","Division of Archives and History",35.57611,-82.54694,,"Asheville","Buncombe County",North Carolina,"Marker is on Biltmore Avenue near Doctors Drive, on the right when traveling north. ",,http://www.hmdb.org/m.asp?m=2277
