MarkerID,Marker No.,Title,Subtitle,Add'l Subtitle,Year Erected,Erected By,Latitude (minus=S),Longitude (minus=W),Street Address,City or Town,County or Parish,State or Prov.,Location,Missing,Link
345,,"The Mingo",,,"1928","The Kiwanis Club and Geo. W. Lutz",40.07921,-80.72305,,"Wheeling","Ohio County",West Virginia,"Marker is at the intersection of National Road (U.S. 40) and Stone Boulevard and Mt. Wood Road and Pike Street, on the left when traveling west on National Road. ",,http://www.hmdb.org/m.asp?m=345
391,,"Pinoak Fountain",,,"2001","the Pinoak Extension Homemakers Club, and the West Virginia Division of Archives and History",39.43882,-78.45173,,"Pinoak","Hampshire County",West Virginia,"Marker is at the intersection of Highway 29 and Falconwood Road, on the right when traveling south on Highway 29. ",,http://www.hmdb.org/m.asp?m=391
449,,"Paw Paw",,,,"West Virginia Archives and History",39.53381,-78.45706,,"Paw Paw","Morgan County",West Virginia,"Marker is at the intersection of West Virginia Route 9 and Winchester Street, on the right when traveling east on State Route 9. ",,http://www.hmdb.org/m.asp?m=449
450,,"Paw Paw / Paw Paw Tunnel / <i>The Fruit</i>","Washington Heritage Trail",,,,39.53380,-78.45720,,"Paw Paw","Morgan County",West Virginia,"Marker is at the intersection of West Virginia Route 9 and Winchester Street, on the right when traveling east on State Route 9. <font color=red> Reported unreadable.</font>",Reported Missing,http://www.hmdb.org/m.asp?m=450
459,,"W. Va School for the Deaf and Blind",,,,,39.34075,-78.75287,"301 East Main Street","Romney","Hampshire County",West Virginia,"Marker is at the intersection of East Main Street (U.S. 50) and Administration Circle, on the left when traveling east on East Main Street. ",,http://www.hmdb.org/m.asp?m=459
462,,"Old Literary Hall",,,,,39.34165,-78.75639,,"Romney","Hampshire County",West Virginia,"Marker is at the intersection of High Street (West Virginia Route 28) and Main Street (U.S. 50) on High Street. ",,http://www.hmdb.org/m.asp?m=462
474,,"Old Stone Tavern",,,"1987","West Virginia Department of Culture and History",39.32640,-79.53193,,"Aurora","Preston County",West Virginia,"Marker is on George Washington Highway (U.S. 50) west of West Virginia Route 24, on the right when traveling west. ",,http://www.hmdb.org/m.asp?m=474
475,,"Gantz Sand",,,"1963","The W. Va. Centennial Committee of the Oil and Natural Gas Industry, and the West Virginia Historic Commission",39.32364,-79.55653,,"Aurora","Preston County",West Virginia,"Marker is on George Washington Highway (U.S. 50) west of Aurora Pike, on the left when traveling west. ",,http://www.hmdb.org/m.asp?m=475
498,,"Madonna of the Trail",,,"1926","the National Society of the Daughters of the American Revolution",40.05579,-80.66922,,"Elm Grove","Ohio County",West Virginia,"Marker is on National Road (U.S. 40) east of Wheeling Park Drive, on the right when traveling west. ",,http://www.hmdb.org/m.asp?m=498
500,,"The Madonna of the Trail",,,,,40.05572,-80.66930,,"Elm Grove","Ohio County",West Virginia,"Marker is on National Road (U.S. 40) east of Wheeling Park Drive, on the right when traveling west. ",,http://www.hmdb.org/m.asp?m=500
